Method,Parmas,Single,Add,Multi,\multirow[c]{2}{*}{GSM8K},\multirow[c]{2}{*}{AQUA},\multirow[c]{2}{*}{SVAMP},Date,Shuffled,Last,Coin,Common,Strategy
Random,,0.00,0.00,0.00,0.00,20.00,0.00,17.12,33.33,0.00,50.00,20.00,50.00
Teacher,175B,81.50,76.71,78.79,42.17,29.74,64.20,67.58,53.20,57.71,90.04,60.07,53.45
Zero-shot,60M,0.00,0.00,1.67,2.12,23.62,2.00,32.43,33.78,0.00,54.00,39.07,48.47
Zero-shot,220M,1.32,0.00,5.00,2.50,27.95,2.00,30.63,31.11,0.00,7.33,72.24,53.42
Zero-shot,700M,1.32,4.20,3.89,2.05,24.41,2.67,9.91,28.89,0.00,54.00,84.03,49.34
Few-shot-CoT,60M,1.32,0.84,1.67,2.81,20.87,1.67,27.93,-,0.00,44.67,11.79,51.97
Few-shot-CoT,220M,2.63,0.84,3.89,3.64,24.80,3.67,12.61,-,0.00,44.67,70.27,53.86
Few-shot-CoT,700M,12.50,10.08,10.00,7.51,23.23,8.33,20.72,-,0.00,44.67,83.87,65.21
Fine-tune,60M,7.24,9.24,16.67,4.93,28.74,10.33,81.08,33.78,39.33,100.00,45.95,58.95
Fine-tune,220M,5.26,10.08,16.11,5.08,29.53,10.67,83.78,44.00,45.33,100.00,63.55,61.14
Fine-tune,700M,7.24,12.61,18.89,5.53,24.80,11.00,82.88,33.78,53.33,100.00,66.75,63.90
Fine-tune-CoT,60M,6.58,5.88,8.33,2.96,23.23,5.67,80.18,36.00,35.33,100.00,42.01,54.15
Fine-tune-CoT,220M,4.61,9.24,12.22,4.40,29.13,6.00,83.78,48.89,50.00,100.00,59.05,59.97
Fine-tune-CoT,700M,11.84,10.92,14.44,5.38,28.35,10.67,84.68,55.11,64.00,100.00,66.83,59.83
Diverse reasoning,60M,7.24,10.92,17.22,-,-,10.67,84.68,62.22,46.00,100.00,-,56.04
Diverse reasoning,220M,9.21,10.92,21.11,-,-,12.33,84.68,67.11,56.67,100.00,-,60.84
Diverse reasoning,700M,10.53,15.13,20.00,-,-,13.67,87.39,89.33,65.33,100.00,-,61.72
