Method,Parmas,Single,Add,Multi,\multirow[c]{2}{*}{GSM8K},\multirow[c]{2}{*}{AQUA},\multirow[c]{2}{*}{SVAMP},Date,Shuffled,Last,Coin,Common,Strategy
Random,,0.00,0.00,0.00,0.00,20.00,0.00,17.12,33.33,0.00,50.00,20.00,50.00
Teacher,175B,81.50,76.71,78.79,42.17,29.74,64.20,67.58,53.20,57.71,90.04,60.07,53.45
Zero-shot,0.3B,0.00,0.84,6.11,1.90,20.47,2.33,27.03,34.22,0.00,46.00,18.10,48.47
Zero-shot,1.3B,0.00,0.00,5.56,1.21,19.29,1.00,18.92,34.67,0.00,46.00,18.67,48.47
Zero-shot,6.7B,0.66,0.84,3.33,1.74,16.54,2.67,9.91,32.89,0.00,56.67,20.23,52.98
Few-shot-CoT,0.3B,0.66,0.84,3.33,1.74,15.75,2.00,19.27,-,0.00,44.67,18.43,42.98
Few-shot-CoT,1.3B,3.29,5.88,5.00,1.59,13.78,4.33,16.51,-,0.00,46.00,18.67,46.05
Few-shot-CoT,6.7B,22.37,31.93,10.00,2.50,15.75,11.33,12.84,-,0.67,40.00,24.73,54.68
Fine-tune,0.3B,9.87,8.40,8.89,5.08,24.41,7.67,23.42,32.44,28.67,100.00,51.68,60.41
Fine-tune,1.3B,11.84,17.65,17.78,5.38,21.26,14.33,31.53,30.22,30.00,100.00,70.93,60.70
Fine-tune,6.7B,24.34,25.21,15.00,6.14,15.35,20.67,14.41,33.78,32.67,72.00,76.17,65.21
Fine-tune-CoT,0.3B,7.24,6.72,6.11,3.11,23.62,5.00,17.12,49.33,50.67,99.33,32.68,52.55
Fine-tune-CoT,1.3B,11.18,11.76,13.33,4.70,19.69,8.00,38.74,52.44,50.67,100.00,43.08,52.69
Fine-tune-CoT,6.7B,20.39,21.01,33.33,6.75,24.02,12.67,60.36,64.44,52.67,98.67,56.76,55.02
Diverse reasoning,0.3B,9.21,10.08,23.89,-,-,14.33,58.56,61.78,59.33,99.33,-,57.21
Diverse reasoning,1.3B,18.42,19.33,27.78,-,-,16.33,70.27,72.00,60.67,100.00,-,57.06
Diverse reasoning,6.7B,24.34,31.09,53.33,-,-,30.33,83.78,73.33,62.00,100.00,-,58.22
