Method,Parmas,Single,Add,Multi,\multirow[c]{2}{*}{GSM8K},\multirow[c]{2}{*}{AQUA},\multirow[c]{2}{*}{SVAMP},Date,Shuffled,Last,Coin,Common,Strategy
Random,,0.00,0.00,0.00,0.00,20.00,0.00,17.12,33.33,0.00,50.00,20.00,50.00
Teacher,175B,81.50,76.71,78.79,42.17,29.74,64.20,67.58,53.20,57.71,90.04,60.07,53.45
Zero-shot,60M,0.00,0.00,2.22,1.74,11.02,1.33,5.41,32.00,0.00,0.00,7.86,0.00
Zero-shot,220M,0.66,0.00,4.44,1.21,4.72,1.00,1.80,0.00,0.00,0.00,3.52,0.00
Zero-shot,700M,0.00,0.84,2.78,1.29,9.45,1.67,0.00,27.56,0.00,0.00,4.10,0.00
Few-shot-CoT,60M,1.32,3.36,3.33,1.97,24.80,1.33,20.72,-,0.00,44.67,19.25,46.00
Few-shot-CoT,220M,1.97,2.52,1.11,1.74,23.23,0.33,9.91,-,0.00,55.33,13.35,52.55
Few-shot-CoT,700M,1.32,1.68,2.78,2.43,19.69,3.00,9.91,-,0.00,55.33,18.92,53.13
Fine-tune,60M,5.92,8.40,13.89,4.02,29.92,11.33,80.18,94.22,24.67,100.00,22.11,58.81
Fine-tune,220M,5.92,11.76,15.00,5.00,24.80,8.67,78.38,37.78,44.00,100.00,51.60,59.24
Fine-tune,700M,6.58,9.24,13.89,4.25,26.77,9.67,79.28,33.78,50.67,100.00,20.88,61.72
Fine-tune-CoT,60M,2.63,5.04,5.56,2.58,24.02,9.33,77.48,40.00,29.33,100.00,29.48,54.73
Fine-tune-CoT,220M,4.61,7.56,10.56,3.18,26.77,7.00,80.18,42.67,47.33,98.67,45.37,55.90
Fine-tune-CoT,700M,5.26,10.92,10.56,4.55,29.92,9.00,80.18,46.22,52.00,100.00,54.22,56.33
Diverse reasoning,60M,7.24,7.56,15.00,-,-,7.67,81.08,59.11,46.67,100.00,-,56.04
Diverse reasoning,220M,5.26,10.08,16.11,-,-,10.33,82.88,65.33,60.67,100.00,-,59.68
Diverse reasoning,700M,7.89,11.76,17.78,-,-,11.33,81.98,81.78,63.33,100.00,-,62.15
